text,category
"
Клиентом банка являюсь около полугода(зарплатный проэкт). С самого начала установил приложение кредо-дайрект — для удобства пользования. Только вот удобства то как-раз никакого нет! Специально установил лимиты какие мне нужны были. Но при переводе средств на карту другого банка получил отказ в смс «Спрацювала система безпеки...». Перевод делал через приложение «портмоне» — поначалу была мысль, что потому и отказ, что «сторонее » приложение. Установил новое приложение «кредобанк», проверил лимиты(на случай «не сбросились ли»)- всё норм. Но при попытке всё-таки перевести деньги (уже через «родное» приложение!) — снова отказ… Т.е. если по обслуживанию в отделении вопросов нет абсолютно никаких(сотрудники молодцы- всегда помогут, подскажут..), то с интернет оплатами\переводами полный бред! 
Исходя из этого, вопрос «знатокам»: 6000грн это какая-то заоблачная сумма, что ее блокирует «система безпеки»?? Тем более при том, что я специально установил для этого лимиты. Или банк живет в прошлом веке, когда для подобной операции нужно звонить на гор.линию либо идти в отделение?
",Positive
"Хочу оставить благодарность для сотрудника отделения г. Полтава отделение №3 Чайку Алёну. Очень доволен креативным мышлением сотрудника и за очень быстрое решение моей проблемы. Хочу акцентировать внимание на том, что сотрудник по-современному подошел к решению вопроса, воспользовавшись ПУМБ Онлайн. Я не сидел в очереди и за это очень благодарен.",Positive
"
Пользуюсь услугами не часто, но регулярно))
Иногда бывает отличный курс, но нет наличных. Зато можно пополнить на депозит.
Очень вежливые и приветливые сотрудники.
Наталье отдельное спасибо!
",Positive
"
Сотрудники очень доступно ответили на поставленные вопросы, вежливые.Предложили оформить страховку на авто.
",Positive
"Выражаю свою искреннюю благодарность Вашему сотруднику Муравицкой Светлане. Такого внимания и искреннего желания помочь я не ожидала встретить в ПУМБ, но, благодаря таким прекрасным людям как Светлана, я изменила своё отношение к Вашему банку. Пожалуйста, цените таких сотрудников, потому что благодаря им репутация банка вырастет в сотни раз, среди обычных клиентов возникнет доверие. Благодарность за обслуживание наследника при осуществелении выплаты по ЭСКРОУ счету, по умершему клиенту (операция была без открытия счета).",Positive
"
Был в отделении на Атозаводской, хотя очередь есть практически всегда, специалисты стараются обслужить качественно и быстро. При открытии депозита все рассказали, показали, в целом остался довольным. Очень приятное общение. Так держать!
",Positive
"
Понадобилась всеКарта от ПУМБ, по горячей линии уточнил какие документы нужны, сказали паспорт и код. В отделении оказалось что нужен ещё и додаток о прописке к паспорту, который как оказалось не совсем паспорт а ID картка. 
Научите операторов напоминать клиентам такие нюансы, для вас может ID карта и не совсем паспорт, но для меня вполне, по которому я например летаю за границу и прочее.
",Positive
"Работа Вашего Банка ПУМБ, а именно центральное отделение, на высоком уровне. Работники Банка ведут себя вежливо, на вопросы отвечают оперативно и обслуживают быстро, без особых задержек и потери времени. Огромное всем спасибо, кто организовывает так работу, а ребята, дежурящие при входе, заслуживают поощрения и продвижения по работе. Они просто молодцы! Огромное спасибо и удачи.",Positive
"
Настоящим отзывом хочу прежде всего поблагодарить Начальника отделения № 19 в г Одесса ( ул Ивана и Юрия Лип,32) Дончук Сабину Дмитриевну за граммотное и терпеливое обслуживание клиентов отделения.Также четко и быстро исполняют работу сотрудники кассы.Положительно хочу отметить наличие помещения для кассового обслуживания клиентов банка ( пересчет наличности).Это сейчас есть далеко не во всех украинских банках.Но… организация труда сотрудников и, как следствие, качество обслуживания оставляют желать лучшего! Помещение небольшое, клиентов ОЧЕНЬ много, из-за чего разговор клиента с сотрудником банка слышит вся очередь( банковская тайна пока еще не отменялась). Да, именно очередь, т.к. клиентооборот очень большой! И, самое главное, это постоянно « зависающая» программа банка, что очень замедляет время обслуживания и доставляет проблем и сотрудникам, и клиентам, испытывая нервы на прочность с обеих сторон. А сотрудникам отделения еще раз « спасибо »!
",Positive
"В очередной раз сотрудники ПУМБ приятно поразили своим профессионализмом, лояльностью, желанием оказать помощь и знанием банковских возможностей. Особенно хотел бы отметить Кураксина Владимира. Впервые встречаю такого сотрудника банка, который бы в нерабочее время поехал бы защищать интересы своего клиента в Пенсионный фонд (Шевченковский р-н., г. Харьков) и всё-таки смог отстоять свою позицию, и вернуть клиента в ПУМБ из ""Приват Банка"", куда был переведен его пенсионный счет абсолютно обманным путем. Успехов Вам и дальнейшего развития.",Positive
"
Добрый день. Меня зовут Кучеренко-Язаджи Татьяна Георгиевна. 
Хочу поблагодарить сотрудника ИКЦ «Эмблема» Жилу Оксану Витальевну в городе Черноморск, Одесская область за прекрасное обслуживание.
Я СПД и время от времени пользуюсь услугами Альфа-банка. 
Всем рекомендую лучшего специалиста по адресу проспект Мира 24/39 Н Жилу Оксану.
Большое СПАСИБО за ваше внимание и профессионализм.
",Positive
"Я пришла в отделение ПУМБ, чтобы оформить депозит. Меня обслуживала невероятно профессиональный менеджер Марина Стасенко. Марина подробно рассказала об условиях депозитов, помогла выбрать банковский продукт, быстро и профессионально оформила депозит, научила меня пользоваться терминалом для пополнения карты, посоветовала скачать приложение ПУМБ для мобильного счета. Приложение очень удобное, с удовольствием пользуюсь. Надеюсь, что прекрасная работа Марины всегда будет высоко оценена в банке.",Positive
"
Сегодня, 20.12.2019 открывали депозит. Пришли в обеденное время, было много клиентов, но при этом качество было на уровне. Приветливые менеджеры. Все было быстро, компетентно.
",Positive
"15.05.2019 я обратился в отделение банка для получения своей пенсионной карты по сроку. Получил талон для обслуживания в электронной очереди и присел ожидать вызова оператора. Все сотрудники в этот момент обслуживали других клиентов, в очереди ожидало 2-3 клиента. Я обратился к начальнику сотрудников этого отделения и озвучил по какому вопросу ожидаю. Руководитель провела меня к встречающему у входа сотруднику Галинач Карине, которая в этот момент была свободна и попросила обслужить меня. Я благодарен начальнику за добросовестное отношение к своим служебным обязанностям, уважение со стороны подчиненных, которые, в свою очередь, обслуживают клиентов с высокой степенью культуры и знанием дела. Я прошу поощрить начальника Блохину Д.Ю.",Positive
"
Оформив обидві КоКо картки, на даний момент це кращі пропозиції кредитної та дебетової карток. Відсоток на залишок по дебетці один з найбільших, кешбек по кредитній картці — топ! Кредитною карткою зручно користуватись, перекази кредитних коштів і їх зняття з банкоматів без комісії. Дуже зручно! Обслуговуванням в відділенні та по телефону теж задоволений. Рекомендую!
",Positive
"Я очень доволен работой менеджера Горлового Алексея Геннадьевича. Данный менеджер всегда и вовремя выполняет работу, напоминает мне о предстоящих вопросах. Я всегда рекомендую данного менеджера своим коллегам.",Positive
"Очень признательна Наталье Тарасовой из отделения №1 в Херсоне за чуткость, внимание к пожилому человеку при обслуживании, душевное понимание вкладчиков, доброту и отзывчивость. Так нужно работать всем. ",Positive
"
Проводила оплату через кассу Банка на Пр- те Палладина все понравилась.
",Positive
"Хочу выразить благодарность сотрудникам отделения № 2 в Харькове, которые помогли моей маме в стрессовой ситуации отправить денежный перевод Western Union мне в Таиланд. Меня там ограбили в начале марта, и я остался без средств для существования. ",Positive
"
Время ожидания, чтобы закрыть счёт составило 3 часа 30 минут. Только спустя три часа менеджер обратилась к руководителю. Огромное спасибо куратору, она смогла решить вопрос за 15 минут, так же очень вежливый руководитель отделения. 
Огромная просьба, научить персонал обращаться за помощью к руководству, если не могут справиться с проблемой.
",Positive
"Хочу поблагодарить ПУМБ за сервис. На все мои вопросы в Харьковском отделении №4 я получил ответ за считанные минуты. К сожалению, не смог запомнить всех, с кем имел счастье общаться. Хочу отметить Алину Гальченко за помощь в оформлении заявления. Решение неприятного вопроса превратилось в сущий пустяк.",Positive
"
Дуже дякую дівчині, яка відкривала карту, та допомогла мені в деяких нюансах. Все чітко і ввічливо пояснила, розповіла та дала кілька порад. Свою роботу зробила швидко і якісно.
Відділення банку у місті Умань, вул. Тищика 25.
",Positive
"
Удалите пожалуйста мой номер и данные из базы. Сказали, что кредит оформлен, но зависла система, перезвонят позже.Я не хочу, что бы кто то получил кредит на мое имя.Спасибо. 0502199588
",Positive
"Мое предприятие обслуживается в Киевском отделении № 33. Очень довольны! Каждый раз, когда обращаемся, любой вопрос решается оперативно, профессионально и с любовью! Приходится обращаться и в другие банки − чувствуется разница именно в отношении персонала к нам, клиентам. Радует также клиент-банк и ПУМБ всегда на высоте! Хочу выразить признательность за такую классную работу управляющей Ирине и Елене Полосенко. Удачи и процветания отделению. Будем рекомендовать вас друзьям!",Positive
"
Являюсь багато років клієнтом банку в м. Рівне. Кредитів не брав а тільки розміщував депозит і оплачував комунальні платежі. Можу підкреслити, що працівники банку уважні до своїх клієнтів і ніяких проблем в мене не виникало. Вважаю, що цей банк один з кращих по сервісу і інтернет-банку з тих, що залишились в Україні.
",Positive
"
В январе 2020 года моему клиенту необходимо было срочно оформить кредит под покупку недвижимости. Знакомые посоветовали обратиться в KredoBank, именно в отделение по адресу: г. Киев, пр-т Победы,96. После первого общения с менеджером ипотечного кредитования, стало понятно, что рекомендации оправдались. С момента передачи копий документов до подписания договора купли-продажи прошла неделя. Положительное решение банка было уже на 3-й день. Сделка прошла быстро и успешно благодаря непосредственному участию менеджера Науменко Дмитрия.Огромная благодарность Дмитрию, он оперативно и четко организовал процесс получения кредита.Я также буду советовать только это отделение.
",Positive
"Выражаю особую благодарность Завалихатько Оксане за превосходное обслуживание, человеческое и чуткое отношение, внимание и корректность. Искренняя благодарность и от всех клиентов банка «Финансы и Кредит» Желтоводского отделения, которые обслуживались в Оксаны в отделении №4 ПУМБ в г.. Кривой Рог. Оксану уже все знают в г.. Желтые Воды как лучшего оператора ПУМБ.",Positive
"
Добрый день, хочу ужаснуться отношением Ощадбанка не только к клиентам, но и к сотрудникам! обслуживалась сегодня в отделении в г.Бахмут, Донецкая область… ну, товарищи, это просто кошмар! в отделении сделан прекрасный ремонт, все новое и красивое… НО!!! просто нечем дышать! людей очень много… окна не открываются вообще, потому что цельные! люди все красные… мокрые, как сотрудники не падают в обморок, работая целый день в таком ужасе, я даже не представляю! и это все в то время, когда вся страна закрыта на карантин! и выйдя на улицу, даже некуда было присесть и вдохнуть воздуха, лавочек для нового банка тоже не нашлось!
",Positive
"Сегодня, 16.03 второй раз пользовался услугами банка, а именно покупал доллары. США. Поразило обслуживание. Кассир заслуживает похвалы. Это настоящий европейский банк. Спасибо Вашим сотрудникам! И напоследок: ""Мы работаем для Вас, приходите!"" – это впечатляет.",Positive
"
Подскажите, как правильно расторгнуть все отношения с банком (перестать быть клиентом), при условии, что задолжености и открытых счетов нету, какая заява предусмотрена? Либо же документ, который подтверждает, что нет каких-либо обьязательств перед банком. Есть претензии по этому поводу, так как понятно, что банк не хочет терять клиентов, и на мой вопрос сотрутники банка отвечали что «некак» или «такого не существует», но это же тогда рабство получается, такие «пожизненные отношения» были б нарушением конституционных прав! Если банк не хочет рассторгнуть отношения за согласование сторон, то может стоит привлечь в судовом порядке и сделать слушанье показательным с привлечением НБУ, СМИ и УБЭП, а сам иск подать за нарушением пунктов договора самим банком (которые действительно были), имея доказательсва и свидетелей, которые подтвердят это, и требовать возврата всех начисленных процентов, так как пункты договора были нарушены самим банком? Не имея задолженностей перед банком, разве я не вправе требовать у банка документ который это подтверждает? ( и я имею ввиду не по каждому кредиту или счёту, а полную). Почему по хорошему и по честному банк не хочет? Спасибо
",Positive
"
В данный момент Форвард банк всех уделал по условиям обслуживания.

Для меня сейчас дебетка Форвард банка, олицетворяет идеальную банковскую карту, для хранения своих денег.

Подобные плюсы перекрывают все недостатки которые я обнаружил.
",Positive
"
Не могу не поделиться большой радостью от того что у меня под домом есть отделение прекрасного банка Кредит Днепр. Под новый год срочно нужно было купить 5 тыс долларов. Не поверите, объездив весь город я смог собрать из всех присутствующих банков 1900 налички. И все, Карл. Вот такие вот банки!
Возвращаясь грустный домой случайно увидел банк, неизведанный ранее.
И что произошло? Очень просто — они выяснили мою потребность и сказали, что сейчас помочь не могут и позвонят позже. Не поверите, перезвонили через 4 часа и вуаля — нужна сумма у меня кармане.
Большая благодарность начальнику отделения за внимание к клиентам и комплексный подход к решению проблем.
",Positive
"
Простота обслуживания, приложение моно-банка просто радует, есть возможность ложить средства на депозит, отличный кешбэк, деньги всегда на виду! Ставлю пять звезд, другого банка с такими возможностями для клиента в Украине нет!
Желаю успехов разработчикам данного банка!
",Positive
"
ХОрошие ставки по депозитам. хороший интернет банкинг.
",Positive
"
взял в банке 13000 на 2 года с правовом досрочного погашения прошел год спрашиваю сколько я вам еще должен и мне отвечают еще 10000 вы что там издеваетесь что у вас за проценты? до этого все ж было нормально
",Positive
"
Карткою Монобанк користуюсь неповний рік, подобається все, але хочеться більше логічних зручних опцій у додатку. Наприклад, щомісячні обов'язкові оплати (комуналка, інтернет моб. зв'язок) варто зробити автоматичними. Вам, певно, багато разів про це писали, але це справді +1000 до зручності і спокою клієнтів банку. Нагадування про оплату — зовсім не те(.

Коти-нагороди. Милі, але було би круто, якби їх можна було посортувати. Для прикладу: спершу (зверху) — всі отримані коти-нагороди, далі — завдання у процесі виконання, залежно від близькості цілі, і в кінці — невиконані поки завдання для отримання нагороди. Це візуально зручно. Ви ж любите, щоб так було? 

Блокування карти. Зробіть подвійне підтвердження для такої дії, будь ласка. Вкладка висить першою зверху. Це дуже зручно, правда. Але інколи, швидко гортаючи додаток, можна випадкого заблокувати карту. Так, розблокуватя її можна так само миттю, але друге нагадування — зручна штука в подібних операціях.
",Positive
"
10 марта 2020 г.обратился в отделение по вопросу, который не смогла решить персональный менеджер Ольга Евграфова и нач.отд.Ольга Хоменко в отд.4 на Хрещатике. Благодаря профессионализму персонального менеджера Тесленко Ирины, оформил все документы для решения вопроса, и получил развернутые ответы на вопросы, которые задавл сотрудникам и начальнику отд.4. Респект Ирине из 13 отд., мягко говоря… дизайлк двум Ольгам на Хрешатике отд 4. за работу.
",Positive
"Желаю оставить благодарность для работника отделения банка г. Херсон пр. Ушакова, 58 руководителю отделения Таросовой Наталье Владимировне за ее профессионализм в работе, и то, что Наталья Владимировна - профессионал в своем деле, что помогла решить проблему. То, что она добрая и ответственная.",Positive
"
Я живу в Виннице, клиенткой банка сначала была моя мама, потом я и теперь моя дочь.Деньги у нас небольшие, но никогда проблем ни с банком, ни кс его коллективом не было.Даже во времена бурной оранжевой революции и майдана нас не подводили, надёжность его проверена десятком лет.Если так будет и дальше, то простые люди смогут сохранить хоть какую-то копейку.Удачи.
",Positive
